id,product_id,store_id,created_at,target_date,predicted_qty,model_version
1967119897389568044,1967119892788416589,1967119892788416522,2025-09-13 13:55:04,2025-09-21 13:55:04,15,v2.3
1967119897389568045,1967119892788416589,1967119892788416522,2025-09-13 13:55:04,2025-09-28 13:55:04,17,v2.2
1967119897389568046,1967119892788416589,1967119892788416522,2025-09-13 13:55:04,2025-10-14 13:55:04,17,v2.3
1967119897389568047,1967119892788416589,1967119892788416523,2025-09-13 13:55:04,2025-09-21 13:55:04,9,v2.3
1967119897389568048,1967119892788416589,1967119892788416523,2025-09-13 13:55:04,2025-09-28 13:55:04,7,v2.4
1967119897389568049,1967119892788416589,1967119892788416523,2025-09-13 13:55:04,2025-10-14 13:55:04,14,v2.4
1967119897389568050,1967119892788416589,1967119892788416524,2025-09-13 13:55:04,2025-09-21 13:55:04,27,v2.5
1967119897389568051,1967119892788416589,1967119892788416524,2025-09-13 13:55:04,2025-09-28 13:55:04,30,v2.2
1967119897389568052,1967119892788416589,1967119892788416524,2025-09-13 13:55:04,2025-10-14 13:55:04,31,v2.5
1967119897389568053,1967119892788416589,1967119892788416525,2025-09-13 13:55:04,2025-09-21 13:55:04,34,v2.5
1967119897389568054,1967119892788416589,1967119892788416525,2025-09-13 13:55:04,2025-09-28 13:55:04,40,v2.2
1967119897389568055,1967119892788416589,1967119892788416525,2025-09-13 13:55:04,2025-10-14 13:55:04,10,v2.5
1967119897389568056,1967119892788416589,1967119892788416526,2025-09-13 13:55:04,2025-09-21 13:55:04,33,v2.1
1967119897389568057,1967119892788416589,1967119892788416526,2025-09-13 13:55:04,2025-09-28 13:55:04,19,v2.4
1967119897389568058,1967119892788416589,1967119892788416526,2025-09-13 13:55:04,2025-10-14 13:55:04,22,v2.1
1967119897389568059,1967119892788416589,1967119892788416527,2025-09-13 13:55:04,2025-09-21 13:55:04,19,v2.5
1967119897389568060,1967119892788416589,1967119892788416527,2025-09-13 13:55:04,2025-09-28 13:55:04,5,v2.4
1967119897389568061,1967119892788416589,1967119892788416527,2025-09-13 13:55:04,2025-10-14 13:55:04,12,v2.5
1967119897389568062,1967119892788416589,1967119892788416528,2025-09-13 13:55:04,2025-09-21 13:55:04,9,v2.1
1967119897389568063,1967119892788416589,1967119892788416528,2025-09-13 13:55:04,2025-09-28 13:55:04,29,v2.5
1967119897389568064,1967119892788416589,1967119892788416528,2025-09-13 13:55:04,2025-10-14 13:55:04,32,v2.3
1967119897389568065,1967119892788416589,1967119892788416529,2025-09-13 13:55:04,2025-09-21 13:55:04,22,v2.5
1967119897389568066,1967119892788416589,1967119892788416529,2025-09-13 13:55:04,2025-09-28 13:55:04,31,v2.3
1967119897389568067,1967119892788416589,1967119892788416529,2025-09-13 13:55:04,2025-10-14 13:55:04,32,v2.1
1967119897389568068,1967119892788416583,1967119892788416522,2025-09-13 13:55:04,2025-09-21 13:55:04,42,v2.4
1967119897389568069,1967119892788416583,1967119892788416522,2025-09-13 13:55:04,2025-09-28 13:55:04,12,v2.3
