id,return_code,original_sale_order_id,store_id,customer_id,return_reason,total_return_amount,refund_method,is_processed,processed_at,processed_by,created_at,created_by,updated_at,updated_by,deleted
1967119897574117428,RET20250914000,SO20250906000928,1967119892788416522,1967119892838748349,Không đúng mô tả/yêu cầu,583491,CASH,True,2025-09-15 05:01:04,1967119892956188682,2025-09-14 02:01:04,1967119892956188681,2025-09-14 11:01:04,1967119892956188679,False
1967119897578311680,RET20250919001,SO20250912001004,1967119892788416523,1967119892859719696,Không đúng mô tả/yêu cầu,64654,CASH,False,2025-09-20 19:51:04,1967119892956188681,2025-09-19 08:51:04,1967119892956188682,2025-09-22 06:51:04,1967119892956188683,False
1967119897578311681,RET20250927002,SO20250913001011,1967119892788416522,1967119892838748346,Sản phẩm không phù hợp,267370,CARD,True,2025-09-28 07:27:04,1967119892956188685,2025-09-27 20:27:04,1967119892956188684,2025-09-30 13:27:04,1967119892956188682,False
1967119897578311682,RET20250813003,SO20250805000465,1967119892788416524,1967119892868108301,Nhận nhầm sản phẩm,143255,CARD,True,2025-08-14 08:42:04,1967119892956188678,2025-08-13 13:42:04,1967119892956188683,2025-08-15 15:42:04,1967119892956188683,False
1967119897578311683,RET20250717004,SO20250703000048,1967119892788416523,1967119892880691217,Khách hàng đổi ý,788296,CARD,True,2025-07-18 21:21:04,1967119892956188680,2025-07-17 07:21:04,1967119892956188679,2025-07-20 06:21:04,1967119892956188678,False
1967119897578311684,RET20250907005,SO20250831000826,1967119892788416525,1967119892910051342,Sản phẩm không phù hợp,104714,CASH,False,2025-09-08 09:14:04,1967119892956188678,2025-09-07 20:14:04,1967119892956188680,2025-09-10 01:14:04,1967119892956188680,False
1967119897578311685,RET20250731006,SO20250718000259,1967119892788416523,1967119892838748345,Không đúng mô tả/yêu cầu,57638,CARD,True,2025-08-02 00:33:04,1967119892956188684,2025-07-31 04:33:04,1967119892956188679,2025-08-01 12:33:04,1967119892956188685,False
1967119897578311686,RET20250801007,SO20250731000397,1967119892788416528,1967119892893274115,Sản phẩm bị lỗi/hư hỏng,38641,CASH,True,2025-08-03 08:28:04,1967119892956188683,2025-08-01 08:28:04,1967119892956188679,2025-08-03 09:28:04,1967119892956188678,False
1967119897578311687,RET20250928008,SO20250919001102,1967119892788416523,1967119892838748330,Khách hàng đổi ý,1245615,CASH,True,2025-09-30 07:56:04,1967119892956188685,2025-09-28 23:56:04,1967119892956188678,2025-09-30 14:56:04,1967119892956188683,False
1967119897578311688,RET20250918009,SO20250909000966,1967119892788416522,1967119892922634240,Khách hàng đổi ý,140763,CARD,False,2025-09-20 05:29:04,1967119892956188682,2025-09-18 08:29:04,1967119892956188681,2025-09-20 10:29:04,1967119892956188680,False
1967119897578311689,RET20250914010,SO20250831000838,1967119892788416529,1967119892893274126,Khách hàng đổi ý,217097,STORE_CREDIT,False,2025-09-15 10:52:04,1967119892956188681,2025-09-14 16:52:04,1967119892956188682,2025-09-15 15:52:04,1967119892956188679,False
1967119897578311690,RET20250907011,SO20250831000834,1967119892788416525,1967119892851331090,Sản phẩm không phù hợp,8488,CASH,True,2025-09-08 14:19:04,1967119892956188682,2025-09-07 09:19:04,1967119892956188681,2025-09-09 02:19:04,1967119892956188681,False
1967119897578311691,RET20250724012,SO20250713000191,1967119892788416524,1967119892910051344,Sản phẩm không phù hợp,52877,CASH,True,2025-07-26 10:00:04,1967119892956188679,2025-07-24 14:00:04,1967119892956188678,2025-07-25 18:00:04,1967119892956188681,False
1967119897578311692,RET20250920013,SO20250919001097,1967119892788416522,1967119892901662734,Nhận nhầm sản phẩm,1134132,CASH,True,2025-09-20 09:25:04,1967119892956188683,2025-09-20 01:25:04,1967119892956188678,2025-09-20 16:25:04,1967119892956188682,False
1967119897578311693,RET20250915014,SO20250904000871,1967119892788416522,1967119892897468418,Không đúng mô tả/yêu cầu,190672,CARD,False,2025-09-16 06:47:04,1967119892956188682,2025-09-15 03:47:04,1967119892956188685,2025-09-17 03:47:04,1967119892956188681,False
1967119897578311694,RET20250810015,SO20250807000494,1967119892788416525,1967119892947800089,Khách hàng đổi ý,46166,CASH,True,2025-08-10 15:34:04,1967119892956188681,2025-08-10 06:34:04,1967119892956188685,2025-08-11 18:34:04,1967119892956188681,False
1967119897578311695,RET20250917016,SO20250907000938,1967119892788416526,1967119892855525388,Không đúng mô tả/yêu cầu,325053,CARD,True,2025-09-17 06:49:04,1967119892956188679,2025-09-17 05:49:04,1967119892956188679,2025-09-20 00:49:04,1967119892956188679,False
1967119897578311696,RET20250803017,SO20250725000341,1967119892788416525,1967119892943605782,Nhận nhầm sản phẩm,41704,CASH,True,2025-08-03 13:04:04,1967119892956188678,2025-08-03 06:04:04,1967119892956188682,2025-08-05 10:04:04,1967119892956188685,False
1967119897599283200,RET20250823018,SO20250820000686,1967119892788416523,1967119892838748370,Không đúng mô tả/yêu cầu,294199,STORE_CREDIT,True,2025-08-24 00:07:04,1967119892956188682,2025-08-23 14:07:04,1967119892956188683,2025-08-26 14:07:04,1967119892956188679,False
1967119897599283201,RET20250827019,SO20250815000585,1967119892788416525,1967119892901662737,Nhận nhầm sản phẩm,6553,CASH,True,2025-08-29 10:47:04,1967119892956188681,2025-08-27 14:47:04,1967119892956188679,2025-08-29 07:47:04,1967119892956188684,False
1967119897599283202,RET20250919020,SO20250907000942,1967119892788416525,1967119892897468424,Nhận nhầm sản phẩm,36962,CASH,False,2025-09-21 12:43:04,1967119892956188679,2025-09-19 20:43:04,1967119892956188684,2025-09-22 06:43:04,1967119892956188679,False
1967119897599283203,RET20250911021,SO20250830000811,1967119892788416523,1967119892910051350,Sản phẩm không phù hợp,325663,STORE_CREDIT,False,2025-09-11 21:10:04,1967119892956188679,2025-09-11 09:10:04,1967119892956188680,2025-09-12 04:10:04,1967119892956188679,False
1967119897603477504,RET20250917022,SO20250912001001,1967119892788416523,1967119892889079817,Không đúng mô tả/yêu cầu,28430,STORE_CREDIT,True,2025-09-19 04:19:04,1967119892956188679,2025-09-17 20:19:04,1967119892956188683,2025-09-18 10:19:04,1967119892956188683,False
1967119897603477505,RET20250915023,SO20250914001050,1967119892788416523,1967119892901662725,Không đúng mô tả/yêu cầu,215826,CARD,False,2025-09-15 10:33:04,1967119892956188681,2025-09-15 08:33:04,1967119892956188680,2025-09-17 19:33:04,1967119892956188680,False
1967119897603477506,RET20250707024,SO20250703000052,1967119892788416522,1967119892838748342,Sản phẩm bị lỗi/hư hỏng,713686,CASH,True,2025-07-08 21:03:04,1967119892956188679,2025-07-07 05:03:04,1967119892956188680,2025-07-09 19:03:04,1967119892956188685,False
1967119897603477507,RET20250823025,SO20250816000610,1967119892788416525,1967119892918439955,Khách hàng đổi ý,244595,CASH,True,2025-08-24 16:37:04,1967119892956188682,2025-08-23 13:37:04,1967119892956188685,2025-08-24 12:37:04,1967119892956188682,False
1967119897607671808,RET20250824026,SO20250815000607,1967119892788416529,1967119892838748336,Nhận nhầm sản phẩm,493772,CARD,True,2025-08-24 06:55:04,1967119892956188684,2025-08-24 03:55:04,1967119892956188684,2025-08-24 22:55:04,1967119892956188679,False
1967119897607671809,RET20250803027,SO20250802000435,1967119892788416526,1967119892918439938,Nhận nhầm sản phẩm,7707,CASH,True,2025-08-04 22:20:04,1967119892956188679,2025-08-03 10:20:04,1967119892956188683,2025-08-05 17:20:04,1967119892956188681,False
1967119897607671810,RET20250913028,SO20250903000866,1967119892788416522,1967119892914245638,Nhận nhầm sản phẩm,34311,CASH,False,2025-09-15 00:32:04,1967119892956188683,2025-09-13 12:32:04,1967119892956188679,2025-09-16 04:32:04,1967119892956188683,False
1967119897607671811,RET20250823029,SO20250821000701,1967119892788416522,1967119892918439936,Không đúng mô tả/yêu cầu,320191,CARD,True,2025-08-25 04:59:04,1967119892956188679,2025-08-23 14:59:04,1967119892956188682,2025-08-25 14:59:04,1967119892956188684,False
1967119897607671812,RET20250731030,SO20250717000238,1967119892788416526,1967119892897468434,Nhận nhầm sản phẩm,157592,CASH,True,2025-08-02 03:22:04,1967119892956188683,2025-07-31 09:22:04,1967119892956188678,2025-08-02 08:22:04,1967119892956188684,False
1967119897607671813,RET20250922031,SO20250913001027,1967119892788416523,1967119892838748341,Sản phẩm bị lỗi/hư hỏng,891069,CASH,True,2025-09-22 15:06:04,1967119892956188683,2025-09-22 04:06:04,1967119892956188680,2025-09-22 06:06:04,1967119892956188684,False
