id,batch_id,store_id,status,version,created_at,created_by,updated_at,updated_by,deleted
1967119892830359552,1967119892788416592,1967119892788416527,ACTIVE,20,2025-03-23 23:55:04,1,2025-04-02 23:55:04,1,False
1967119892830359553,1967119892788416592,1967119892788416524,ACTIVE,19,2025-03-23 23:55:04,1,2025-05-20 23:55:04,1,False
1967119892830359554,1967119892788416592,1967119892788416525,ACTIVE,6,2025-03-23 23:55:04,1,2025-05-09 23:55:04,1,False
1967119892830359555,1967119892788416593,1967119892788416526,ACTIVE,19,2025-03-24 04:55:04,1,2025-04-17 04:55:04,1,False
1967119892830359556,1967119892788416594,1967119892788416528,INACTIVE,4,2025-03-24 01:55:04,1,2025-05-15 01:55:04,1,False
1967119892830359557,1967119892788416594,1967119892788416523,ACTIVE,19,2025-03-24 01:55:04,1,2025-04-24 01:55:04,1,False
1967119892830359558,1967119892788416595,1967119892788416525,ACTIVE,9,2025-03-23 21:55:04,1,2025-04-24 21:55:04,1,False
1967119892830359559,1967119892788416595,1967119892788416523,INACTIVE,6,2025-03-23 21:55:04,1,2025-07-22 21:55:04,1,False
1967119892830359560,1967119892788416596,1967119892788416524,INACTIVE,2,2025-03-31 00:55:04,1,2025-05-07 00:55:04,1,False
1967119892830359561,1967119892788416597,1967119892788416526,ACTIVE,23,2025-03-31 05:55:04,1,2025-08-09 05:55:04,1,False
1967119892830359562,1967119892788416597,1967119892788416524,ACTIVE,15,2025-03-31 05:55:04,1,2025-05-01 05:55:04,1,False
1967119892830359563,1967119892788416597,1967119892788416529,EXPIRED,13,2025-03-31 05:55:04,1,2025-06-24 05:55:04,1,False
1967119892830359564,1967119892788416598,1967119892788416524,ACTIVE,10,2025-03-30 22:55:04,1,2025-05-08 22:55:04,1,False
1967119892830359565,1967119892788416599,1967119892788416529,EXPIRED,4,2025-03-31 02:55:04,1,2025-07-10 02:55:04,1,False
1967119892830359566,1967119892788416599,1967119892788416522,ACTIVE,1,2025-03-31 02:55:04,1,2025-07-19 02:55:04,1,False
1967119892830359567,1967119892788416599,1967119892788416528,ACTIVE,19,2025-03-31 02:55:04,1,2025-08-16 02:55:04,1,False
1967119892830359568,1967119892788416600,1967119892788416529,INACTIVE,16,2025-04-07 00:55:04,1,2025-06-18 00:55:04,1,False
1967119892830359569,1967119892788416601,1967119892788416524,EXPIRED,7,2025-04-06 22:55:04,1,2025-08-13 22:55:04,1,False
1967119892830359570,1967119892788416602,1967119892788416527,ACTIVE,1,2025-04-06 23:55:04,1,2025-06-13 23:55:04,1,False
1967119892830359571,1967119892788416602,1967119892788416526,INACTIVE,11,2025-04-06 23:55:04,1,2025-06-19 23:55:04,1,False
1967119892830359572,1967119892788416602,1967119892788416522,ACTIVE,6,2025-04-06 23:55:04,1,2025-06-25 23:55:04,1,False
1967119892830359573,1967119892788416603,1967119892788416525,ACTIVE,4,2025-04-07 06:55:04,1,2025-04-29 06:55:04,1,False
1967119892830359574,1967119892788416603,1967119892788416529,ACTIVE,3,2025-04-07 06:55:04,1,2025-07-07 06:55:04,1,False
1967119892830359575,1967119892788416604,1967119892788416525,INACTIVE,0,2025-04-13 22:55:04,1,2025-04-17 22:55:04,1,False
1967119892830359576,1967119892788416604,1967119892788416529,INACTIVE,7,2025-04-13 22:55:04,1,2025-07-31 22:55:04,1,False
1967119892830359577,1967119892788416604,1967119892788416522,EXPIRED,7,2025-04-13 22:55:04,1,2025-05-26 22:55:04,1,False
1967119892830359578,1967119892788416604,1967119892788416527,ACTIVE,17,2025-04-13 22:55:04,1,2025-06-25 22:55:04,1,False
1967119892830359579,1967119892788416605,1967119892788416523,ACTIVE,3,2025-04-13 21:55:04,1,2025-06-26 21:55:04,1,False
1967119892830359580,1967119892788416605,1967119892788416522,EXPIRED,21,2025-04-13 21:55:04,1,2025-06-13 21:55:04,1,False
1967119892830359581,1967119892788416606,1967119892788416522,ACTIVE,9,2025-04-14 01:55:04,1,2025-07-23 01:55:04,1,False
1967119892830359582,1967119892788416607,1967119892788416522,ACTIVE,11,2025-04-13 23:55:04,1,2025-07-04 23:55:04,1,False
1967119892830359583,1967119892788416607,1967119892788416529,INACTIVE,6,2025-04-13 23:55:04,1,2025-06-03 23:55:04,1,False
