id,batch_code,created_at,created_by,updated_at,updated_by,deleted
1967119892788416592,B2025032300,2025-03-23 23:55:04,1,2025-03-24 08:55:04,1,False
1967119892788416593,B2025032301,2025-03-24 04:55:04,1,2025-03-24 11:55:04,1,False
1967119892788416594,B2025032302,2025-03-24 01:55:04,1,2025-03-24 12:55:04,1,False
1967119892788416595,B2025032303,2025-03-23 21:55:04,1,2025-03-24 12:55:04,1,False
1967119892788416596,B2025033000,2025-03-31 00:55:04,1,2025-03-31 09:55:04,1,False
1967119892788416597,B2025033001,2025-03-31 05:55:04,1,2025-03-31 11:55:04,1,False
1967119892788416598,B2025033002,2025-03-30 22:55:04,1,2025-03-31 11:55:04,1,False
1967119892788416599,B2025033003,2025-03-31 02:55:04,1,2025-03-31 11:55:04,1,False
1967119892788416600,B2025040600,2025-04-07 00:55:04,1,2025-04-07 08:55:04,1,False
1967119892788416601,B2025040601,2025-04-06 22:55:04,1,2025-04-07 11:55:04,1,False
1967119892788416602,B2025040602,2025-04-06 23:55:04,1,2025-04-07 12:55:04,1,False
1967119892788416603,B2025040603,2025-04-07 06:55:04,1,2025-04-07 09:55:04,1,False
1967119892788416604,B2025041300,2025-04-13 22:55:04,1,2025-04-14 10:55:04,1,False
1967119892788416605,B2025041301,2025-04-13 21:55:04,1,2025-04-14 12:55:04,1,False
1967119892788416606,B2025041302,2025-04-14 01:55:04,1,2025-04-14 12:55:04,1,False
1967119892788416607,B2025041303,2025-04-13 23:55:04,1,2025-04-14 11:55:04,1,False
1967119892788416608,B2025042000,2025-04-20 23:55:04,1,2025-04-21 10:55:04,1,False
1967119892788416609,B2025042001,2025-04-21 07:55:04,1,2025-04-21 09:55:04,1,False
1967119892788416610,B2025042002,2025-04-21 01:55:04,1,2025-04-21 08:55:04,1,False
1967119892788416611,B2025042003,2025-04-21 05:55:04,1,2025-04-21 09:55:04,1,False
1967119892788416612,B2025042700,2025-04-28 07:55:04,1,2025-04-28 11:55:04,1,False
1967119892788416613,B2025042701,2025-04-28 06:55:04,1,2025-04-28 08:55:04,1,False
1967119892788416614,B2025042702,2025-04-28 07:55:04,1,2025-04-28 12:55:04,1,False
1967119892788416615,B2025042703,2025-04-28 03:55:04,1,2025-04-28 10:55:04,1,False
1967119892788416616,B2025050400,2025-05-05 05:55:04,1,2025-05-05 11:55:04,1,False
1967119892788416617,B2025050401,2025-05-05 07:55:04,1,2025-05-05 11:55:04,1,False
1967119892788416618,B2025050402,2025-05-05 02:55:04,1,2025-05-05 12:55:04,1,False
1967119892788416619,B2025050403,2025-05-04 23:55:04,1,2025-05-05 09:55:04,1,False
1967119892788416620,B2025051100,2025-05-12 06:55:04,1,2025-05-12 08:55:04,1,False
1967119892788416621,B2025051101,2025-05-12 05:55:04,1,2025-05-12 09:55:04,1,False
1967119892788416622,B2025051102,2025-05-12 00:55:04,1,2025-05-12 11:55:04,1,False
1967119892788416623,B2025051103,2025-05-12 03:55:04,1,2025-05-12 09:55:04,1,False
1967119892788416624,B2025051104,2025-05-12 02:55:04,1,2025-05-12 09:55:04,1,False
1967119892788416625,B2025051800,2025-05-18 23:55:04,1,2025-05-19 11:55:04,1,False
1967119892788416626,B2025051801,2025-05-18 22:55:04,1,2025-05-19 10:55:04,1,False
1967119892788416627,B2025051802,2025-05-18 21:55:04,1,2025-05-19 12:55:04,1,False
1967119892788416628,B2025051803,2025-05-18 21:55:04,1,2025-05-19 09:55:04,1,False
1967119892788416629,B2025051804,2025-05-19 04:55:04,1,2025-05-19 11:55:04,1,False
1967119892788416630,B2025052500,2025-05-26 04:55:04,1,2025-05-26 09:55:04,1,False
1967119892788416631,B2025052501,2025-05-26 02:55:04,1,2025-05-26 10:55:04,1,False
1967119892788416632,B2025052502,2025-05-26 05:55:04,1,2025-05-26 10:55:04,1,False
1967119892788416633,B2025052503,2025-05-26 03:55:04,1,2025-05-26 09:55:04,1,False
1967119892788416634,B2025052504,2025-05-26 06:55:04,1,2025-05-26 09:55:04,1,False
1967119892788416635,B2025060100,2025-06-02 01:55:04,1,2025-06-02 08:55:04,1,False
1967119892788416636,B2025060101,2025-06-02 00:55:04,1,2025-06-02 12:55:04,1,False
1967119892788416637,B2025060102,2025-06-02 01:55:04,1,2025-06-02 09:55:04,1,False
1967119892788416638,B2025060103,2025-06-01 23:55:04,1,2025-06-02 09:55:04,1,False
1967119892788416639,B2025060104,2025-06-02 06:55:04,1,2025-06-02 09:55:04,1,False
1967119892788416640,B2025060800,2025-06-09 03:55:04,1,2025-06-09 08:55:04,1,False
1967119892788416641,B2025060801,2025-06-09 04:55:04,1,2025-06-09 11:55:04,1,False
1967119892788416642,B2025060802,2025-06-09 03:55:04,1,2025-06-09 09:55:04,1,False
1967119892788416643,B2025060803,2025-06-09 02:55:04,1,2025-06-09 08:55:04,1,False
1967119892788416644,B2025060804,2025-06-09 04:55:04,1,2025-06-09 11:55:04,1,False
1967119892788416645,B2025061500,2025-06-15 23:55:04,1,2025-06-16 10:55:04,1,False
1967119892788416646,B2025061501,2025-06-16 05:55:04,1,2025-06-16 09:55:04,1,False
1967119892788416647,B2025061502,2025-06-16 06:55:04,1,2025-06-16 10:55:04,1,False
1967119892788416648,B2025061503,2025-06-16 05:55:04,1,2025-06-16 09:55:04,1,False
1967119892788416649,B2025061504,2025-06-16 05:55:04,1,2025-06-16 12:55:04,1,False
1967119892788416650,B2025062200,2025-06-23 05:55:04,1,2025-06-23 08:55:04,1,False
1967119892788416651,B2025062201,2025-06-23 07:55:04,1,2025-06-23 08:55:04,1,False
1967119892788416652,B2025062202,2025-06-22 21:55:04,1,2025-06-23 09:55:04,1,False
1967119892788416653,B2025062203,2025-06-23 06:55:04,1,2025-06-23 10:55:04,1,False
1967119892788416654,B2025062204,2025-06-23 06:55:04,1,2025-06-23 12:55:04,1,False
1967119892788416655,B2025062205,2025-06-23 01:55:04,1,2025-06-23 10:55:04,1,False
1967119892788416656,B2025062900,2025-06-30 00:55:04,1,2025-06-30 12:55:04,1,False
1967119892788416657,B2025062901,2025-06-30 06:55:04,1,2025-06-30 09:55:04,1,False
1967119892788416658,B2025062902,2025-06-30 05:55:04,1,2025-06-30 10:55:04,1,False
1967119892788416659,B2025062903,2025-06-30 06:55:04,1,2025-06-30 09:55:04,1,False
1967119892788416660,B2025062904,2025-06-30 03:55:04,1,2025-06-30 08:55:04,1,False
1967119892788416661,B2025062905,2025-06-29 23:55:04,1,2025-06-30 08:55:04,1,False
1967119892788416662,B2025070600,2025-07-07 00:55:04,1,2025-07-07 09:55:04,1,False
1967119892788416663,B2025070601,2025-07-07 02:55:04,1,2025-07-07 12:55:04,1,False
1967119892788416664,B2025070602,2025-07-07 01:55:04,1,2025-07-07 10:55:04,1,False
1967119892788416665,B2025070603,2025-07-06 23:55:04,1,2025-07-07 10:55:04,1,False
1967119892788416666,B2025070604,2025-07-06 21:55:04,1,2025-07-07 10:55:04,1,False
1967119892788416667,B2025070605,2025-07-07 02:55:04,1,2025-07-07 10:55:04,1,False
1967119892788416668,B2025071300,2025-07-13 23:55:04,1,2025-07-14 12:55:04,1,False
1967119892788416669,B2025071301,2025-07-13 23:55:04,1,2025-07-14 08:55:04,1,False
1967119892788416670,B2025071302,2025-07-14 02:55:04,1,2025-07-14 10:55:04,1,False
1967119892788416671,B2025071303,2025-07-13 21:55:04,1,2025-07-14 11:55:04,1,False
1967119892788416672,B2025071304,2025-07-14 00:55:04,1,2025-07-14 09:55:04,1,False
1967119892788416673,B2025071305,2025-07-13 23:55:04,1,2025-07-14 10:55:04,1,False
1967119892788416674,B2025072000,2025-07-21 03:55:04,1,2025-07-21 08:55:04,1,False
1967119892788416675,B2025072001,2025-07-21 01:55:04,1,2025-07-21 12:55:04,1,False
1967119892788416676,B2025072002,2025-07-21 06:55:04,1,2025-07-21 08:55:04,1,False
1967119892788416677,B2025072003,2025-07-20 22:55:04,1,2025-07-21 09:55:04,1,False
1967119892788416678,B2025072004,2025-07-21 06:55:04,1,2025-07-21 12:55:04,1,False
1967119892788416679,B2025072005,2025-07-21 00:55:04,1,2025-07-21 10:55:04,1,False
1967119892788416680,B2025072700,2025-07-28 03:55:04,1,2025-07-28 09:55:04,1,False
1967119892788416681,B2025072701,2025-07-28 04:55:04,1,2025-07-28 09:55:04,1,False
1967119892788416682,B2025072702,2025-07-27 22:55:04,1,2025-07-28 08:55:04,1,False
1967119892788416683,B2025072703,2025-07-28 00:55:04,1,2025-07-28 10:55:04,1,False
1967119892788416684,B2025072704,2025-07-28 00:55:04,1,2025-07-28 09:55:04,1,False
1967119892788416685,B2025072705,2025-07-28 07:55:04,1,2025-07-28 10:55:04,1,False
1967119892788416686,B2025080300,2025-08-04 04:55:04,1,2025-08-04 12:55:04,1,False
1967119892788416687,B2025080301,2025-08-03 22:55:04,1,2025-08-04 08:55:04,1,False
1967119892788416688,B2025080302,2025-08-04 03:55:04,1,2025-08-04 09:55:04,1,False
1967119892788416689,B2025080303,2025-08-04 06:55:04,1,2025-08-04 08:55:04,1,False
1967119892788416690,B2025080304,2025-08-04 02:55:04,1,2025-08-04 08:55:04,1,False
1967119892788416691,B2025080305,2025-08-04 04:55:04,1,2025-08-04 09:55:04,1,False
1967119892788416692,B2025081000,2025-08-10 23:55:04,1,2025-08-11 12:55:04,1,False
1967119892788416693,B2025081001,2025-08-11 03:55:04,1,2025-08-11 09:55:04,1,False
1967119892788416694,B2025081002,2025-08-11 01:55:04,1,2025-08-11 11:55:04,1,False
1967119892788416695,B2025081003,2025-08-10 22:55:04,1,2025-08-11 12:55:04,1,False
1967119892788416696,B2025081004,2025-08-11 02:55:04,1,2025-08-11 08:55:04,1,False
1967119892788416697,B2025081005,2025-08-11 00:55:04,1,2025-08-11 09:55:04,1,False
1967119892788416698,B2025081006,2025-08-11 00:55:04,1,2025-08-11 11:55:04,1,False
1967119892788416699,B2025081700,2025-08-18 04:55:04,1,2025-08-18 11:55:04,1,False
1967119892788416700,B2025081701,2025-08-18 00:55:04,1,2025-08-18 09:55:04,1,False
1967119892788416701,B2025081702,2025-08-17 22:55:04,1,2025-08-18 12:55:04,1,False
1967119892788416702,B2025081703,2025-08-18 04:55:04,1,2025-08-18 12:55:04,1,False
1967119892788416703,B2025081704,2025-08-18 06:55:04,1,2025-08-18 10:55:04,1,False
1967119892788416704,B2025081705,2025-08-18 05:55:04,1,2025-08-18 08:55:04,1,False
1967119892788416705,B2025081706,2025-08-18 02:55:04,1,2025-08-18 10:55:04,1,False
1967119892788416706,B2025082400,2025-08-25 00:55:04,1,2025-08-25 08:55:04,1,False
1967119892788416707,B2025082401,2025-08-24 22:55:04,1,2025-08-25 08:55:04,1,False
1967119892788416708,B2025082402,2025-08-24 22:55:04,1,2025-08-25 10:55:04,1,False
1967119892788416709,B2025082403,2025-08-25 06:55:04,1,2025-08-25 12:55:04,1,False
1967119892788416710,B2025082404,2025-08-25 07:55:04,1,2025-08-25 11:55:04,1,False
1967119892788416711,B2025082405,2025-08-25 07:55:04,1,2025-08-25 09:55:04,1,False
1967119892788416712,B2025082406,2025-08-25 06:55:04,1,2025-08-25 10:55:04,1,False
1967119892788416713,B2025083100,2025-08-31 21:55:04,1,2025-09-01 09:55:04,1,False
1967119892788416714,B2025083101,2025-08-31 23:55:04,1,2025-09-01 08:55:04,1,False
1967119892788416715,B2025083102,2025-09-01 07:55:04,1,2025-09-01 08:55:04,1,False
1967119892788416716,B2025083103,2025-08-31 23:55:04,1,2025-09-01 12:55:04,1,False
1967119892788416717,B2025083104,2025-08-31 23:55:04,1,2025-09-01 11:55:04,1,False
1967119892788416718,B2025083105,2025-09-01 01:55:04,1,2025-09-01 08:55:04,1,False
1967119892788416719,B2025083106,2025-08-31 22:55:04,1,2025-09-01 10:55:04,1,False
1967119892788416720,B2025090700,2025-09-08 05:55:04,1,2025-09-08 09:55:04,1,False
1967119892788416721,B2025090701,2025-09-08 02:55:04,1,2025-09-08 12:55:04,1,False
1967119892788416722,B2025090702,2025-09-08 04:55:04,1,2025-09-08 08:55:04,1,False
1967119892788416723,B2025090703,2025-09-07 21:55:04,1,2025-09-08 09:55:04,1,False
1967119892788416724,B2025090704,2025-09-08 06:55:04,1,2025-09-08 09:55:04,1,False
1967119892788416725,B2025090705,2025-09-08 02:55:04,1,2025-09-08 08:55:04,1,False
1967119892788416726,B2025090706,2025-09-08 06:55:04,1,2025-09-08 08:55:04,1,False
1967119892788416727,B2025091400,2025-09-14 23:55:04,1,2025-09-15 08:55:04,1,False
1967119892788416728,B2025091401,2025-09-14 23:55:04,1,2025-09-15 10:55:04,1,False
1967119892788416729,B2025091402,2025-09-14 22:55:04,1,2025-09-15 11:55:04,1,False
1967119892788416730,B2025091403,2025-09-15 03:55:04,1,2025-09-15 08:55:04,1,False
1967119892788416731,B2025091404,2025-09-14 21:55:04,1,2025-09-15 10:55:04,1,False
1967119892788416732,B2025091405,2025-09-15 02:55:04,1,2025-09-15 08:55:04,1,False
1967119892788416733,B2025091406,2025-09-15 00:55:04,1,2025-09-15 08:55:04,1,False
