id,batch_id,product_id,supplier_id,original_qty,import_price,manufacture_date,expiry_date,created_at,created_by,updated_at,updated_by,deleted
1967119892788416734,1967119892788416592,1967119892788416558,1967119892788416517,339,52149,2025-03-18 23:55:04,2026-11-27 23:55:04,2025-03-23 23:55:04,1,2025-03-24 08:55:04,1,False
1967119892788416735,1967119892788416592,1967119892788416553,1967119892788416517,259,31035,2025-02-23 23:55:04,2026-02-28 23:55:04,2025-03-23 23:55:04,1,2025-03-24 08:55:04,1,False
1967119892788416736,1967119892788416593,1967119892788416560,1967119892788416521,493,31320,2025-03-11 04:55:04,2025-09-16 04:55:04,2025-03-24 04:55:04,1,2025-03-24 11:55:04,1,False
1967119892788416737,1967119892788416593,1967119892788416562,1967119892788416521,377,24224,2025-03-11 04:55:04,2026-02-26 04:55:04,2025-03-24 04:55:04,1,2025-03-24 11:55:04,1,False
1967119892788416738,1967119892788416594,1967119892788416547,1967119892788416517,42,421451,2025-03-01 01:55:04,2025-03-08 01:55:04,2025-03-24 01:55:04,1,2025-03-24 12:55:04,1,False
1967119892788416739,1967119892788416594,1967119892788416544,1967119892788416517,95,83586,2025-03-07 01:55:04,2025-03-08 01:55:04,2025-03-24 01:55:04,1,2025-03-24 12:55:04,1,False
1967119892788416740,1967119892788416595,1967119892788416572,1967119892788416513,73,86881,2025-03-21 21:55:04,2026-10-09 21:55:04,2025-03-23 21:55:04,1,2025-03-24 12:55:04,1,False
1967119892788416741,1967119892788416595,1967119892788416570,1967119892788416513,229,63701,2025-03-09 21:55:04,2027-02-12 21:55:04,2025-03-23 21:55:04,1,2025-03-24 12:55:04,1,False
1967119892788416742,1967119892788416595,1967119892788416574,1967119892788416513,130,50952,2025-03-06 21:55:04,2028-01-19 21:55:04,2025-03-23 21:55:04,1,2025-03-24 12:55:04,1,False
1967119892788416743,1967119892788416596,1967119892788416543,1967119892788416520,57,313913,2025-03-11 00:55:04,2025-03-14 00:55:04,2025-03-31 00:55:04,1,2025-03-31 09:55:04,1,False
1967119892788416744,1967119892788416596,1967119892788416538,1967119892788416520,90,164486,2025-03-20 00:55:04,2025-03-24 00:55:04,2025-03-31 00:55:04,1,2025-03-31 09:55:04,1,False
1967119892788416745,1967119892788416597,1967119892788416589,1967119892788416521,10,1072384,2025-03-04 05:55:04,2028-12-28 05:55:04,2025-03-31 05:55:04,1,2025-03-31 11:55:04,1,False
1967119892788416746,1967119892788416598,1967119892788416551,1967119892788416514,193,46936,2025-03-08 22:55:04,2027-02-26 22:55:04,2025-03-30 22:55:04,1,2025-03-31 11:55:04,1,False
1967119892788416747,1967119892788416598,1967119892788416553,1967119892788416514,367,31035,2025-03-17 22:55:04,2026-05-16 22:55:04,2025-03-30 22:55:04,1,2025-03-31 11:55:04,1,False
1967119892788416748,1967119892788416598,1967119892788416555,1967119892788416514,301,14279,2025-03-25 22:55:04,2025-11-19 22:55:04,2025-03-30 22:55:04,1,2025-03-31 11:55:04,1,False
1967119892788416749,1967119892788416599,1967119892788416557,1967119892788416517,322,36069,2025-03-23 02:55:04,2026-11-25 02:55:04,2025-03-31 02:55:04,1,2025-03-31 11:55:04,1,False
1967119892788416750,1967119892788416599,1967119892788416555,1967119892788416517,445,14279,2025-03-06 02:55:04,2026-10-04 02:55:04,2025-03-31 02:55:04,1,2025-03-31 11:55:04,1,False
1967119892788416751,1967119892788416600,1967119892788416562,1967119892788416518,169,24224,2025-03-23 00:55:04,2025-10-14 00:55:04,2025-04-07 00:55:04,1,2025-04-07 08:55:04,1,False
1967119892788416752,1967119892788416601,1967119892788416589,1967119892784222253,18,1072384,2025-03-14 22:55:04,2028-12-17 22:55:04,2025-04-06 22:55:04,1,2025-04-07 11:55:04,1,False
1967119892788416753,1967119892788416602,1967119892788416557,1967119892788416516,311,36069,2025-03-20 23:55:04,2026-11-04 23:55:04,2025-04-06 23:55:04,1,2025-04-07 12:55:04,1,False
1967119892788416754,1967119892788416602,1967119892788416558,1967119892788416516,138,52149,2025-03-14 23:55:04,2025-09-25 23:55:04,2025-04-06 23:55:04,1,2025-04-07 12:55:04,1,False
1967119892788416755,1967119892788416602,1967119892788416554,1967119892788416516,117,41747,2025-03-22 23:55:04,2026-01-21 23:55:04,2025-04-06 23:55:04,1,2025-04-07 12:55:04,1,False
1967119892788416756,1967119892788416602,1967119892788416550,1967119892788416516,95,36003,2025-03-10 23:55:04,2025-12-01 23:55:04,2025-04-06 23:55:04,1,2025-04-07 12:55:04,1,False
1967119892788416757,1967119892788416603,1967119892788416575,1967119892788416521,257,94845,2025-03-13 06:55:04,2026-04-23 06:55:04,2025-04-07 06:55:04,1,2025-04-07 09:55:04,1,False
1967119892788416758,1967119892788416604,1967119892788416587,1967119892788416518,8,1209511,2025-04-08 22:55:04,2028-11-06 22:55:04,2025-04-13 22:55:04,1,2025-04-14 10:55:04,1,False
1967119892788416759,1967119892788416604,1967119892788416585,1967119892788416518,9,1244169,2025-03-29 22:55:04,2028-11-25 22:55:04,2025-04-13 22:55:04,1,2025-04-14 10:55:04,1,False
1967119892788416760,1967119892788416604,1967119892788416589,1967119892788416518,25,1072384,2025-03-30 22:55:04,2029-06-26 22:55:04,2025-04-13 22:55:04,1,2025-04-14 10:55:04,1,False
1967119892788416761,1967119892788416605,1967119892788416539,1967119892788416518,83,376835,2025-04-03 21:55:04,2025-04-09 21:55:04,2025-04-13 21:55:04,1,2025-04-14 12:55:04,1,False
1967119892788416762,1967119892788416606,1967119892788416542,1967119892788416515,23,200012,2025-03-21 01:55:04,2025-03-22 01:55:04,2025-04-14 01:55:04,1,2025-04-14 12:55:04,1,False
1967119892788416763,1967119892788416607,1967119892788416577,1967119892788416516,437,61022,2025-03-22 23:55:04,2027-05-30 23:55:04,2025-04-13 23:55:04,1,2025-04-14 11:55:04,1,False
1967119892788416764,1967119892788416608,1967119892788416560,1967119892788416518,355,31320,2025-03-26 23:55:04,2026-02-24 23:55:04,2025-04-20 23:55:04,1,2025-04-21 10:55:04,1,False
1967119892788416765,1967119892788416609,1967119892788416566,1967119892788416513,452,24111,2025-04-06 07:55:04,2025-12-19 07:55:04,2025-04-21 07:55:04,1,2025-04-21 09:55:04,1,False
1967119892788416766,1967119892788416610,1967119892788416587,1967119892784222253,22,1209511,2025-03-27 01:55:04,2029-12-25 01:55:04,2025-04-21 01:55:04,1,2025-04-21 08:55:04,1,False
1967119892788416767,1967119892788416610,1967119892788416590,1967119892784222253,20,1784410,2025-03-29 01:55:04,2028-07-30 01:55:04,2025-04-21 01:55:04,1,2025-04-21 08:55:04,1,False
1967119892788416768,1967119892788416610,1967119892788416588,1967119892784222253,14,1631430,2025-04-11 01:55:04,2029-03-24 01:55:04,2025-04-21 01:55:04,1,2025-04-21 08:55:04,1,False
1967119892788416769,1967119892788416611,1967119892788416552,1967119892788416517,208,49375,2025-03-22 05:55:04,2025-11-30 05:55:04,2025-04-21 05:55:04,1,2025-04-21 09:55:04,1,False
1967119892788416770,1967119892788416611,1967119892788416557,1967119892788416517,389,36069,2025-04-04 05:55:04,2027-02-12 05:55:04,2025-04-21 05:55:04,1,2025-04-21 09:55:04,1,False
1967119892788416771,1967119892788416611,1967119892788416559,1967119892788416517,88,20336,2025-04-08 05:55:04,2027-02-05 05:55:04,2025-04-21 05:55:04,1,2025-04-21 09:55:04,1,False
1967119892788416772,1967119892788416612,1967119892788416587,1967119892788416518,18,1209511,2025-04-23 07:55:04,2029-07-27 07:55:04,2025-04-28 07:55:04,1,2025-04-28 11:55:04,1,False
1967119892788416773,1967119892788416613,1967119892788416587,1967119892788416515,30,1209511,2025-04-04 06:55:04,2029-04-23 06:55:04,2025-04-28 06:55:04,1,2025-04-28 08:55:04,1,False
1967119892788416774,1967119892788416613,1967119892788416585,1967119892788416515,6,1244169,2025-04-20 06:55:04,2029-05-14 06:55:04,2025-04-28 06:55:04,1,2025-04-28 08:55:04,1,False
1967119892788416775,1967119892788416613,1967119892788416591,1967119892788416515,27,1339857,2025-04-15 06:55:04,2029-11-01 06:55:04,2025-04-28 06:55:04,1,2025-04-28 08:55:04,1,False
