id,voucher_id,customer_id,issued,created_at,created_by,updated_at,updated_by,deleted
1967119897452482570,1967119892951994379,1967119892876496899,True,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482571,1967119892951994379,1967119892880691207,True,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482572,1967119892951994379,1967119892939411461,True,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482573,1967119892951994379,1967119892880691214,True,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482574,1967119892951994379,1967119892851331088,True,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482575,1967119892951994379,1967119892855525392,False,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482576,1967119892951994379,1967119892914245649,True,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482577,1967119892951994379,1967119892855525379,True,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482578,1967119892951994379,1967119892851331093,False,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482579,1967119892951994379,1967119892922634242,False,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482580,1967119892951994379,1967119892910051340,True,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482581,1967119892951994379,1967119892897468419,False,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482582,1967119892951994379,1967119892893274129,True,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482583,1967119892951994379,1967119892838748324,False,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482584,1967119892951994379,1967119892838748332,False,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482585,1967119892951994379,1967119892905857035,False,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482586,1967119892951994379,1967119892855525399,True,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482587,1967119892951994379,1967119892872302606,True,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482588,1967119892951994379,1967119892939411466,True,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482589,1967119892951994379,1967119892884885508,False,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482590,1967119892951994379,1967119892863913985,True,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482591,1967119892951994379,1967119892905857036,True,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482592,1967119892951994379,1967119892889079821,False,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482593,1967119892951994379,1967119892910051337,True,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482594,1967119892951994379,1967119892947800074,False,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482595,1967119892951994379,1967119892901662726,True,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482596,1967119892951994379,1967119892893274118,True,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482597,1967119892951994379,1967119892859719691,False,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482598,1967119892951994379,1967119892893274126,False,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482599,1967119892951994379,1967119892872302597,True,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482600,1967119892951994379,1967119892951994368,False,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482601,1967119892951994379,1967119892910051333,False,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482602,1967119892951994379,1967119892910051352,True,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482603,1967119892951994379,1967119892838748331,False,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482604,1967119892951994379,1967119892880691212,True,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482605,1967119892951994379,1967119892914245648,True,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482606,1967119892951994379,1967119892910051330,True,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482607,1967119892951994379,1967119892838748370,True,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482608,1967119892951994379,1967119892872302605,False,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482609,1967119892951994379,1967119892901662739,True,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482610,1967119892951994379,1967119892905857031,True,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482611,1967119892951994379,1967119892889079816,True,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482612,1967119892951994379,1967119892901662729,False,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482613,1967119892951994379,1967119892901662721,True,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482614,1967119892951994379,1967119892851331083,True,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482615,1967119892951994379,1967119892838748357,False,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482616,1967119892951994379,1967119892868108292,True,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482617,1967119892951994379,1967119892943605764,False,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482618,1967119892951994379,1967119892918439956,True,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482619,1967119892951994379,1967119892905857029,False,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482620,1967119892951994379,1967119892859719693,False,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482621,1967119892951994379,1967119892859719695,False,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482622,1967119892951994379,1967119892943605775,True,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119897452482623,1967119892951994379,1967119892910051331,False,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
