id,batch_stock_id,change_qty,reason,reference_id,created_at,created_by,updated_at,updated_by,deleted
1967119897356013622,1967119892838748239,1,Kiểm kê định kỳ,ADJ20250627002,2025-06-27 06:27:26,1967119892956188682,2025-06-27 07:27:26,1967119892956188681,False
1967119897356013623,1967119892838748269,5,Hàng trả lại từ khách hàng,ADJ20250814006,2025-08-14 02:55:18,1967119892956188683,2025-08-14 03:55:18,1967119892956188678,False
1967119897356013624,1967119892830359562,10,Bù đắp thiếu hụt,ADJ20250731008,2025-07-31 07:03:10,1967119892956188679,2025-07-31 09:03:10,1967119892956188683,False
1967119897356013625,1967119892838748257,1,Điều chỉnh do sai sót nhập liệu,ADJ20250713010,2025-07-13 00:41:42,1967119892956188681,2025-07-13 03:41:42,1967119892956188678,False
1967119897356013626,1967119892834553923,1,Hàng trả lại từ khách hàng,ADJ20250829012,2025-08-29 15:30:11,1967119892956188682,2025-08-29 19:30:11,1967119892956188680,False
1967119897356013627,1967119892830359568,-1,Điều chỉnh do sai sót nhập liệu,ADJ20250823013,2025-08-23 10:36:25,1967119892956188679,2025-08-23 14:36:25,1967119892956188678,False
1967119897356013628,1967119892834553918,-7,Hết hạn sử dụng,ADJ20250731015,2025-07-31 05:02:56,1967119892956188678,2025-07-31 06:02:56,1967119892956188684,False
1967119897356013629,1967119892838748315,1,Điều chỉnh do sai sót nhập liệu,ADJ20250725017,2025-07-25 22:25:37,1967119892956188681,2025-07-26 00:25:37,1967119892956188683,False
1967119897356013630,1967119892830359639,-1,Hư hỏng do vận chuyển,ADJ20250914019,2025-09-14 04:51:50,1967119892956188678,2025-09-14 08:51:50,1967119892956188679,False
1967119897356013631,1967119892838748269,10,Bù đắp thiếu hụt,ADJ20250727021,2025-07-27 09:17:38,1967119892956188685,2025-07-27 11:17:38,1967119892956188678,False
1967119897356013632,1967119892830359562,-2,Hư hỏng do vận chuyển,ADJ20250823022,2025-08-23 09:52:40,1967119892956188678,2025-08-23 13:52:40,1967119892956188685,False
1967119897356013633,1967119892830359623,8,Bù đắp thiếu hụt,ADJ20250907023,2025-09-07 08:31:27,1967119892956188680,2025-09-07 12:31:27,1967119892956188683,False
1967119897356013634,1967119892838748243,-1,"Mất mát, thất thoát",ADJ20250904024,2025-09-04 07:11:06,1967119892956188685,2025-09-04 08:11:06,1967119892956188678,False
1967119897356013635,1967119892838748296,-8,Hết hạn sử dụng,ADJ20250706025,2025-07-06 17:11:05,1967119892956188683,2025-07-06 19:11:05,1967119892956188683,False
1967119897356013636,1967119892830359554,0,Điều chỉnh do sai sót nhập liệu,ADJ20250809026,2025-08-09 15:54:54,1967119892956188685,2025-08-09 18:54:54,1967119892956188682,False
1967119897356013637,1967119892838748166,-9,Hết hạn sử dụng,ADJ20250824027,2025-08-24 07:23:13,1967119892956188685,2025-08-24 10:23:13,1967119892956188682,False
1967119897356013638,1967119892838748317,1,Điều chỉnh do sai sót nhập liệu,ADJ20250824028,2025-08-24 23:57:14,1967119892956188680,2025-08-25 00:57:14,1967119892956188678,False
1967119897356013639,1967119892830359647,3,Hàng trả lại từ khách hàng,ADJ20250628029,2025-06-28 03:39:54,1967119892956188681,2025-06-28 06:39:54,1967119892956188679,False
1967119897356013640,1967119892838748204,0,Kiểm kê định kỳ,ADJ20250630030,2025-06-30 09:42:43,1967119892956188684,2025-06-30 10:42:43,1967119892956188682,False
1967119897356013641,1967119892838748236,-2,Hư hỏng do vận chuyển,ADJ20250802032,2025-08-02 01:12:31,1967119892956188682,2025-08-02 03:12:31,1967119892956188678,False
