id,long,lat
1967119892784222208,105.83903458,20.95996079
1967119892784222209,105.7896829,21.00727161
1967119892784222210,105.8004727,20.96019234
1967119892784222211,105.87627822,21.00400878
1967119892784222212,105.78321705,20.98841967
1967119892784222213,105.81914751,20.95001967
1967119892784222214,105.82703937,20.97368481
1967119892784222215,105.87209046,20.95510561
1967119892784222216,105.81343171,21.00410465
1967119892784222217,105.86730118,20.99853972
1967119892784222218,105.86797661,20.97550219
1967119892784222219,105.85938713,20.99701894
1967119892784222220,105.84979674,21.04151279
1967119892784222221,105.87703508,21.0187297
1967119892784222222,105.78686283,20.95122855
1967119892784222223,105.80752173,21.03287035
1967119892784222224,105.85513376,21.02730025
1967119892784222225,105.82451116,20.96768004
1967119892784222226,105.84305623,21.03499776
1967119892784222227,105.833482,21.01129051
1967119892784222228,105.87044834,21.01387833
1967119892784222229,105.79940766,21.04631377
1967119892784222230,105.87564413,21.03605979
1967119892784222231,105.84318234,21.00899177
1967119892784222232,105.85981239,20.96230837
1967119892784222233,105.80649047,20.99591414
1967119892784222234,105.81294682,20.99722885
1967119892784222235,105.80090338,21.00387567
1967119892784222236,105.79237881,20.95927579
1967119892784222237,105.82368337,20.9890598
1967119892784222238,105.79834871,21.03220816
1967119892784222239,105.84777443,21.01239771
1967119892784222240,105.80618797,20.96938392
1967119892784222241,105.83727304,20.95437896
1967119892784222242,105.83883567,21.02667585
1967119892784222243,105.84716059,21.04294744
1967119892784222244,105.87590318,21.00099899
1967119892784222245,105.84312124,20.96157013
1967119892784222246,105.78683391,21.01106373
1967119892784222247,105.78160554,21.01436697
1967119892784222248,105.7829946,21.00783474
1967119892784222249,105.87685057,21.01080696
1967119892784222250,105.82014635,21.04435947
1967119892784222251,105.78887598,20.99339889
1967119892784222252,105.83666593,21.04308069
