id,from_store_id,to_store_id,transfer_date,status,created_at,created_by,updated_at,updated_by,deleted
1967119897565728769,1967119892788416522,1967119892788416523,2025-08-20 04:29:56,COMPLETED,2025-08-19 16:29:56,1967119892956188680,2025-08-20 23:29:56,1967119892956188679,False
1967119897565728770,1967119892788416524,1967119892788416525,2025-07-16 14:07:49,COMPLETED,2025-07-15 15:07:49,1967119892956188678,2025-07-18 12:07:49,1967119892956188679,False
1967119897565728771,1967119892788416525,1967119892788416522,2025-07-22 05:43:32,COMPLETED,2025-07-21 21:43:32,1967119892956188678,2025-07-22 11:43:32,1967119892956188680,False
1967119897569923072,1967119892788416528,1967119892788416526,2025-08-03 15:44:55,COMPLETED,2025-08-03 12:44:55,1967119892956188681,2025-08-03 21:44:55,1967119892956188684,False
1967119897569923073,1967119892788416525,1967119892788416524,2025-08-29 03:10:49,COMPLETED,2025-08-28 16:10:49,1967119892956188681,2025-08-29 04:10:49,1967119892956188681,False
1967119897569923074,1967119892788416528,1967119892788416529,2025-09-08 11:48:58,IN_TRANSIT,2025-09-08 09:48:58,1967119892956188679,2025-09-09 02:48:58,1967119892956188685,False
1967119897569923075,1967119892788416525,1967119892788416527,2025-09-06 07:57:07,COMPLETED,2025-09-05 12:57:07,1967119892956188681,2025-09-06 10:57:07,1967119892956188679,False
1967119897569923076,1967119892788416526,1967119892788416528,2025-08-07 13:58:32,COMPLETED,2025-08-06 14:58:32,1967119892956188679,2025-08-09 07:58:32,1967119892956188678,False
1967119897569923077,1967119892788416524,1967119892788416525,2025-08-12 23:21:18,COMPLETED,2025-08-12 09:21:18,1967119892956188681,2025-08-13 17:21:18,1967119892956188678,False
1967119897569923078,1967119892788416522,1967119892788416529,2025-08-19 13:42:09,COMPLETED,2025-08-18 17:42:09,1967119892956188682,2025-08-21 00:42:09,1967119892956188682,False
1967119897569923079,1967119892788416523,1967119892788416525,2025-08-17 11:03:05,COMPLETED,2025-08-17 01:03:05,1967119892956188678,2025-08-17 13:03:05,1967119892956188678,False
1967119897569923080,1967119892788416522,1967119892788416528,2025-07-31 17:14:43,COMPLETED,2025-07-30 23:14:43,1967119892956188678,2025-08-02 08:14:43,1967119892956188685,False
1967119897569923081,1967119892788416526,1967119892788416529,2025-08-27 20:04:53,COMPLETED,2025-08-26 22:04:53,1967119892956188679,2025-08-28 16:04:53,1967119892956188682,False
1967119897569923082,1967119892788416526,1967119892788416523,2025-08-28 19:47:13,COMPLETED,2025-08-28 09:47:13,1967119892956188681,2025-08-28 21:47:13,1967119892956188680,False
1967119897569923083,1967119892788416525,1967119892788416526,2025-08-04 23:53:58,CANCELLED,2025-08-04 19:53:58,1967119892956188683,2025-08-06 03:53:58,1967119892956188678,False
1967119897569923084,1967119892788416528,1967119892788416526,2025-08-15 14:18:09,COMPLETED,2025-08-14 17:18:09,1967119892956188679,2025-08-15 21:18:09,1967119892956188685,False
1967119897569923085,1967119892788416525,1967119892788416526,2025-08-05 12:02:23,COMPLETED,2025-08-04 21:02:23,1967119892956188682,2025-08-05 19:02:23,1967119892956188684,False
1967119897569923086,1967119892788416522,1967119892788416529,2025-07-28 15:53:22,COMPLETED,2025-07-27 21:53:22,1967119892956188680,2025-07-29 18:53:22,1967119892956188678,False
1967119897569923087,1967119892788416529,1967119892788416526,2025-08-27 07:28:21,COMPLETED,2025-08-26 21:28:21,1967119892956188683,2025-08-28 01:28:21,1967119892956188681,False
1967119897569923088,1967119892788416527,1967119892788416526,2025-07-21 18:23:02,COMPLETED,2025-07-21 06:23:02,1967119892956188684,2025-07-21 22:23:02,1967119892956188680,False
1967119897569923089,1967119892788416529,1967119892788416527,2025-07-19 12:42:29,COMPLETED,2025-07-19 06:42:29,1967119892956188684,2025-07-20 06:42:29,1967119892956188680,False
1967119897569923090,1967119892788416527,1967119892788416522,2025-07-29 05:21:58,COMPLETED,2025-07-28 08:21:58,1967119892956188681,2025-07-30 18:21:58,1967119892956188682,False
1967119897569923091,1967119892788416524,1967119892788416525,2025-08-23 06:45:55,COMPLETED,2025-08-23 04:45:55,1967119892956188680,2025-08-23 10:45:55,1967119892956188685,False
1967119897569923092,1967119892788416522,1967119892788416529,2025-09-03 05:41:33,COMPLETED,2025-09-03 04:41:33,1967119892956188679,2025-09-05 05:41:33,1967119892956188679,False
1967119897569923093,1967119892788416522,1967119892788416524,2025-08-20 17:33:12,COMPLETED,2025-08-20 04:33:12,1967119892956188682,2025-08-22 12:33:12,1967119892956188679,False
