id,sale_order_id,product_id,qty_ordered,unit_price,created_at,created_by,updated_at,updated_by,deleted
1967119893111377920,SO20250629000000,1967119892788416543,3,369310,2025-06-29 09:12:04,1967119892956188682,2025-06-29 09:18:04,1967119892956188680,False
1967119893111377921,SO20250629000000,1967119892788416580,2,1478947,2025-06-29 09:12:04,1967119892956188682,2025-06-29 09:18:04,1967119892956188680,False
1967119893132349440,SO20250629000001,1967119892788416563,2,44942,2025-06-29 07:10:04,1967119892956188685,2025-06-29 07:25:04,1967119892956188679,False
1967119893132349441,SO20250629000001,1967119892788416562,3,34607,2025-06-29 07:10:04,1967119892956188685,2025-06-29 07:25:04,1967119892956188679,False
1967119893132349442,SO20250629000001,1967119892788416554,3,55663,2025-06-29 07:10:04,1967119892956188685,2025-06-29 07:25:04,1967119892956188679,False
1967119893132349443,SO20250629000001,1967119892788416542,2,235309,2025-06-29 07:10:04,1967119892956188685,2025-06-29 07:25:04,1967119892956188679,False
1967119893136543744,SO20250629000002,1967119892788416542,1,235309,2025-06-29 08:24:04,1967119892956188682,2025-06-29 08:32:04,1967119892956188679,False
1967119893136543745,SO20250629000002,1967119892788416537,2,55424,2025-06-29 08:24:04,1967119892956188682,2025-06-29 08:32:04,1967119892956188679,False
1967119893140738048,SO20250629000003,1967119892788416563,1,44942,2025-06-29 08:45:04,1967119892956188684,2025-06-29 08:58:04,1967119892956188685,False
1967119893140738049,SO20250629000003,1967119892788416581,2,275969,2025-06-29 08:45:04,1967119892956188684,2025-06-29 08:58:04,1967119892956188685,False
1967119893144932352,SO20250629000004,1967119892788416565,1,19891,2025-06-29 10:20:04,1967119892956188678,2025-06-29 10:35:04,1967119892956188678,False
1967119893144932353,SO20250629000004,1967119892788416541,1,205423,2025-06-29 10:20:04,1967119892956188678,2025-06-29 10:35:04,1967119892956188678,False
1967119893149126656,SO20250629000005,1967119892788416556,1,19157,2025-06-29 16:32:04,1967119892956188681,2025-06-29 16:35:04,1967119892956188683,False
1967119893153320960,SO20250629000006,1967119892788416551,2,62582,2025-06-29 04:25:04,1967119892956188679,2025-06-29 04:39:04,1967119892956188679,False
1967119893153320961,SO20250629000006,1967119892788416547,3,495825,2025-06-29 04:25:04,1967119892956188679,2025-06-29 04:39:04,1967119892956188679,False
1967119893153320962,SO20250629000007,1967119892788416547,2,495825,2025-06-29 03:38:04,1967119892956188685,2025-06-29 03:41:04,1967119892956188682,False
1967119893153320963,SO20250629000007,1967119892788416564,1,27506,2025-06-29 03:38:04,1967119892956188685,2025-06-29 03:41:04,1967119892956188682,False
1967119893157515264,SO20250629000008,1967119892788416563,1,44942,2025-06-29 16:03:04,1967119892956188678,2025-06-29 16:06:04,1967119892956188684,False
1967119893157515265,SO20250629000008,1967119892788416566,1,34445,2025-06-29 16:03:04,1967119892956188678,2025-06-29 16:06:04,1967119892956188684,False
1967119893157515266,SO20250629000009,1967119892788416546,2,75999,2025-06-29 04:17:04,1967119892956188683,2025-06-29 04:24:04,1967119892956188683,False
1967119893157515267,SO20250629000009,1967119892788416555,4,19039,2025-06-29 04:17:04,1967119892956188683,2025-06-29 04:24:04,1967119892956188683,False
1967119893161709568,SO20250629000010,1967119892788416553,1,41380,2025-06-29 11:22:04,1967119892956188680,2025-06-29 11:28:04,1967119892956188678,False
1967119893161709569,SO20250629000010,1967119892788416558,1,69533,2025-06-29 11:22:04,1967119892956188680,2025-06-29 11:28:04,1967119892956188678,False
1967119893161709570,SO20250629000011,1967119892788416562,2,34607,2025-06-29 12:35:04,1967119892956188678,2025-06-29 12:45:04,1967119892956188681,False
1967119893161709571,SO20250629000011,1967119892788416547,3,495825,2025-06-29 12:35:04,1967119892956188678,2025-06-29 12:45:04,1967119892956188681,False
1967119893161709572,SO20250629000011,1967119892788416550,4,48004,2025-06-29 12:35:04,1967119892956188678,2025-06-29 12:45:04,1967119892956188681,False
1967119893161709573,SO20250629000011,1967119892788416541,3,205423,2025-06-29 12:35:04,1967119892956188678,2025-06-29 12:45:04,1967119892956188681,False
1967119893165903872,SO20250629000012,1967119892788416562,3,34607,2025-06-29 08:06:04,1967119892956188681,2025-06-29 08:17:04,1967119892956188685,False
1967119893165903873,SO20250629000012,1967119892788416560,1,44744,2025-06-29 08:06:04,1967119892956188681,2025-06-29 08:17:04,1967119892956188685,False
1967119893165903874,SO20250629000012,1967119892788416540,3,50974,2025-06-29 08:06:04,1967119892956188681,2025-06-29 08:17:04,1967119892956188685,False
1967119893170098176,SO20250629000013,1967119892788416552,2,65834,2025-06-29 20:16:04,1967119892956188685,2025-06-29 20:27:04,1967119892956188678,False
1967119893174292480,SO20250629000014,1967119892788416538,2,193514,2025-06-29 20:37:04,1967119892956188679,2025-06-29 20:51:04,1967119892956188678,False
1967119893174292481,SO20250629000014,1967119892788416541,1,205423,2025-06-29 20:37:04,1967119892956188679,2025-06-29 20:51:04,1967119892956188678,False
1967119893178486784,SO20250629000015,1967119892788416567,2,36517,2025-06-29 09:56:04,1967119892956188678,2025-06-29 10:02:04,1967119892956188685,False
