id,sale_line_id,batch_stock_id,sold_qty,unit_cost_snap,created_at,created_by,updated_at,updated_by,deleted
1967119895573434369,1967119893111377920,1967119892838748164,3,313913,2025-06-29 09:12:04,1967119892956188682,2025-06-29 09:18:04,1967119892956188680,False
1967119895573434370,1967119893111377921,1967119892830359626,1,961315,2025-06-29 09:12:04,1967119892956188682,2025-06-29 09:18:04,1967119892956188680,False
1967119895577628672,1967119893132349440,1967119892830359600,1,31459,2025-06-29 07:10:04,1967119892956188685,2025-06-29 07:25:04,1967119892956188679,False
1967119895577628673,1967119893132349440,1967119892838748286,1,31459,2025-06-29 07:10:04,1967119892956188685,2025-06-29 07:25:04,1967119892956188679,False
1967119895577628674,1967119893132349441,1967119892834553921,1,24224,2025-06-29 07:10:04,1967119892956188685,2025-06-29 07:25:04,1967119892956188679,False
1967119895577628675,1967119893132349442,1967119892830359570,1,41747,2025-06-29 07:10:04,1967119892956188685,2025-06-29 07:25:04,1967119892956188679,False
1967119895577628676,1967119893132349442,1967119892830359607,1,41747,2025-06-29 07:10:04,1967119892956188685,2025-06-29 07:25:04,1967119892956188679,False
1967119895577628677,1967119893132349443,1967119892834553890,1,200012,2025-06-29 07:10:04,1967119892956188685,2025-06-29 07:25:04,1967119892956188679,False
1967119895577628678,1967119893132349443,1967119892838748179,1,200012,2025-06-29 07:10:04,1967119892956188685,2025-06-29 07:25:04,1967119892956188679,False
1967119895577628679,1967119893136543744,1967119892838748167,1,200012,2025-06-29 08:24:04,1967119892956188682,2025-06-29 08:32:04,1967119892956188679,False
1967119895577628680,1967119893136543745,1967119892830359631,1,47110,2025-06-29 08:24:04,1967119892956188682,2025-06-29 08:32:04,1967119892956188679,False
1967119895577628681,1967119893136543745,1967119892834553908,1,47110,2025-06-29 08:24:04,1967119892956188682,2025-06-29 08:32:04,1967119892956188679,False
1967119895581822976,1967119893140738048,1967119892838748285,1,31459,2025-06-29 08:45:04,1967119892956188684,2025-06-29 08:58:04,1967119892956188685,False
1967119895581822977,1967119893140738049,1967119892838748217,2,179379,2025-06-29 08:45:04,1967119892956188684,2025-06-29 08:58:04,1967119892956188685,False
1967119895581822978,1967119893144932352,1967119892838748189,1,13923,2025-06-29 10:20:04,1967119892956188678,2025-06-29 10:35:04,1967119892956188678,False
1967119895581822979,1967119893144932353,1967119892838748167,1,174609,2025-06-29 10:20:04,1967119892956188678,2025-06-29 10:35:04,1967119892956188678,False
1967119895581822980,1967119893149126656,1967119892834553903,1,14367,2025-06-29 16:32:04,1967119892956188681,2025-06-29 16:35:04,1967119892956188683,False
1967119895581822981,1967119893153320960,1967119892830359564,2,46936,2025-06-29 04:25:04,1967119892956188679,2025-06-29 04:39:04,1967119892956188679,False
1967119895581822982,1967119893153320961,1967119892834553887,1,421451,2025-06-29 04:25:04,1967119892956188679,2025-06-29 04:39:04,1967119892956188679,False
1967119895581822983,1967119893153320962,1967119892834553889,1,421451,2025-06-29 03:38:04,1967119892956188685,2025-06-29 03:41:04,1967119892956188682,False
1967119895581822984,1967119893153320962,1967119892834553900,1,421451,2025-06-29 03:38:04,1967119892956188685,2025-06-29 03:41:04,1967119892956188682,False
