id,name,sku,desc,unit_price,category_id,created_at,created_by,updated_at,updated_by,deleted
1967119892788416536,Thịt bò Úc,SKU10000,"Thịt bò Úc - Chất lượng cao, giá tốt",224418,1967119892788416530,2024-05-05 06:42:46,1,2025-07-31 23:31:25,1,False
1967119892788416537,Thịt heo sạch - Size S,SKU10001,"Thịt heo sạch - Chất lượng cao, giá tốt",55424,1967119892788416530,2023-09-02 08:31:13,1,2025-08-13 09:40:04,1,False
1967119892788416538,Thịt heo sạch - Size M,SKU10002,"Thịt heo sạch - Chất lượng cao, giá tốt",193514,1967119892788416530,2024-04-24 11:55:29,1,2025-09-01 07:10:47,1,False
1967119892788416539,Thịt heo sạch - Size L,SKU10003,"Thịt heo sạch - Chất lượng cao, giá tốt",443336,1967119892788416530,2024-05-06 07:27:00,1,2025-07-24 09:16:24,1,False
1967119892788416540,Cá hồi Na Uy - Size S,SKU10004,"Cá hồi Na Uy - Chất lượng cao, giá tốt",50974,1967119892788416530,2023-08-21 06:15:44,1,2025-09-11 06:25:47,1,False
1967119892788416541,Cá hồi Na Uy - Size M,SKU10005,"Cá hồi Na Uy - Chất lượng cao, giá tốt",205423,1967119892788416530,2025-04-01 17:23:34,1,2025-07-20 16:24:30,1,False
1967119892788416542,Cá hồi Na Uy - Size L,SKU10006,"Cá hồi Na Uy - Chất lượng cao, giá tốt",235309,1967119892788416530,2024-01-23 00:38:34,1,2025-07-21 05:24:55,1,False
1967119892788416543,Tôm sú,SKU10007,"Tôm sú - Chất lượng cao, giá tốt",369310,1967119892788416530,2023-11-20 19:19:41,1,2025-08-13 14:13:14,1,False
1967119892788416544,Rau xanh hữu cơ,SKU10008,"Rau xanh hữu cơ - Chất lượng cao, giá tốt",98337,1967119892788416530,2023-10-11 12:53:06,1,2025-08-01 13:12:46,1,False
1967119892788416545,Trái cây nhập khẩu - Size S,SKU10009,"Trái cây nhập khẩu - Chất lượng cao, giá tốt",93757,1967119892788416530,2024-09-27 03:13:20,1,2025-08-24 12:05:46,1,False
1967119892788416546,Trái cây nhập khẩu - Size M,SKU10010,"Trái cây nhập khẩu - Chất lượng cao, giá tốt",75999,1967119892788416530,2025-05-02 18:32:05,1,2025-08-03 08:44:08,1,False
1967119892788416547,Trái cây nhập khẩu - Size L,SKU10011,"Trái cây nhập khẩu - Chất lượng cao, giá tốt",495825,1967119892788416530,2024-10-23 23:19:33,1,2025-08-26 08:17:10,1,False
1967119892788416548,Coca Cola,SKU10012,"Coca Cola - Chất lượng cao, giá tốt",69868,1967119892788416531,2024-11-07 12:51:09,1,2025-08-17 21:36:47,1,False
1967119892788416549,Pepsi,SKU10013,"Pepsi - Chất lượng cao, giá tốt",49025,1967119892788416531,2024-09-12 21:44:50,1,2025-07-31 22:35:34,1,False
1967119892788416550,Sting,SKU10014,"Sting - Chất lượng cao, giá tốt",48004,1967119892788416531,2023-07-22 13:16:59,1,2025-07-18 10:59:07,1,False
1967119892788416551,Number 1,SKU10015,"Number 1 - Chất lượng cao, giá tốt",62582,1967119892788416531,2024-10-01 08:29:00,1,2025-09-13 21:00:43,1,False
1967119892788416552,Trà xanh C2 - Size S,SKU10016,"Trà xanh C2 - Chất lượng cao, giá tốt",65834,1967119892788416531,2025-05-26 08:43:46,1,2025-09-07 01:35:50,1,False
1967119892788416553,Trà xanh C2 - Size M,SKU10017,"Trà xanh C2 - Chất lượng cao, giá tốt",41380,1967119892788416531,2024-06-22 22:48:58,1,2025-07-22 05:32:38,1,False
1967119892788416554,Trà xanh C2 - Size L,SKU10018,"Trà xanh C2 - Chất lượng cao, giá tốt",55663,1967119892788416531,2025-03-16 06:34:46,1,2025-07-21 19:49:57,1,False
1967119892788416555,Nước suối Lavie,SKU10019,"Nước suối Lavie - Chất lượng cao, giá tốt",19039,1967119892788416531,2023-11-13 20:07:55,1,2025-08-15 20:08:35,1,False
1967119892788416556,Bia Heineken - Size S,SKU10020,"Bia Heineken - Chất lượng cao, giá tốt",19157,1967119892788416531,2023-04-25 08:44:12,1,2025-08-10 23:29:44,1,False
1967119892788416557,Bia Heineken - Size M,SKU10021,"Bia Heineken - Chất lượng cao, giá tốt",48093,1967119892788416531,2025-02-08 22:14:54,1,2025-07-29 07:14:23,1,False
1967119892788416558,Bia Heineken - Size L,SKU10022,"Bia Heineken - Chất lượng cao, giá tốt",69533,1967119892788416531,2024-10-13 15:42:30,1,2025-08-29 19:05:31,1,False
1967119892788416559,Bia Tiger,SKU10023,"Bia Tiger - Chất lượng cao, giá tốt",27115,1967119892788416531,2023-12-24 06:39:09,1,2025-09-07 17:34:20,1,False
1967119892788416560,Bánh Oreo,SKU10024,"Bánh Oreo - Chất lượng cao, giá tốt",44744,1967119892788416532,2023-05-08 11:06:08,1,2025-07-19 14:27:51,1,False
1967119892788416561,Kẹo Mentos,SKU10025,"Kẹo Mentos - Chất lượng cao, giá tốt",21699,1967119892788416532,2023-12-06 05:33:10,1,2025-08-23 20:00:47,1,False
1967119892788416562,Snack Ostar,SKU10026,"Snack Ostar - Chất lượng cao, giá tốt",34607,1967119892788416532,2025-04-08 05:31:59,1,2025-08-15 02:27:20,1,False
1967119892788416563,Bánh Chocopie,SKU10027,"Bánh Chocopie - Chất lượng cao, giá tốt",44942,1967119892788416532,2024-10-13 05:52:58,1,2025-09-05 04:14:46,1,False
1967119892788416564,Kẹo dẻo Haribo - Size S,SKU10028,"Kẹo dẻo Haribo - Chất lượng cao, giá tốt",27506,1967119892788416532,2024-07-31 03:21:26,1,2025-09-02 19:41:18,1,False
1967119892788416565,Kẹo dẻo Haribo - Size M,SKU10029,"Kẹo dẻo Haribo - Chất lượng cao, giá tốt",19891,1967119892788416532,2024-09-01 17:58:57,1,2025-07-29 05:27:03,1,False
1967119892788416566,Kẹo dẻo Haribo - Size L,SKU10030,"Kẹo dẻo Haribo - Chất lượng cao, giá tốt",34445,1967119892788416532,2024-09-17 23:22:01,1,2025-08-15 10:06:42,1,False
1967119892788416567,Bánh quy Cosy,SKU10031,"Bánh quy Cosy - Chất lượng cao, giá tốt",36517,1967119892788416532,2023-09-17 15:35:37,1,2025-08-28 20:38:01,1,False
1967119892788416568,Nước mắm Nam Ngư - Size S,SKU10032,"Nước mắm Nam Ngư - Chất lượng cao, giá tốt",117335,1967119892788416533,2024-09-10 03:43:41,1,2025-08-07 23:29:50,1,False
1967119892788416569,Nước mắm Nam Ngư - Size M,SKU10033,"Nước mắm Nam Ngư - Chất lượng cao, giá tốt",33054,1967119892788416533,2024-04-12 07:02:59,1,2025-08-14 21:10:23,1,False
1967119892788416570,Nước mắm Nam Ngư - Size L,SKU10034,"Nước mắm Nam Ngư - Chất lượng cao, giá tốt",79627,1967119892788416533,2023-08-08 17:13:34,1,2025-08-11 22:10:29,1,False
1967119892788416571,Dầu ăn Tường An,SKU10035,"Dầu ăn Tường An - Chất lượng cao, giá tốt",83847,1967119892788416533,2025-04-10 10:17:38,1,2025-09-04 05:10:23,1,False
1967119892788416572,Muối I-ốt,SKU10036,"Muối I-ốt - Chất lượng cao, giá tốt",108602,1967119892788416533,2023-05-15 07:56:07,1,2025-07-24 06:44:20,1,False
1967119892788416573,Đường trắng - Size S,SKU10037,"Đường trắng - Chất lượng cao, giá tốt",90061,1967119892788416533,2023-10-28 21:56:03,1,2025-07-23 07:35:12,1,False
1967119892788416574,Đường trắng - Size M,SKU10038,"Đường trắng - Chất lượng cao, giá tốt",63691,1967119892788416533,2023-10-18 06:26:00,1,2025-09-11 02:15:13,1,False
1967119892788416575,Đường trắng - Size L,SKU10039,"Đường trắng - Chất lượng cao, giá tốt",118557,1967119892788416533,2024-05-25 10:00:37,1,2025-08-01 17:49:55,1,False
1967119892788416576,Bột ngọt Aji,SKU10040,"Bột ngọt Aji - Chất lượng cao, giá tốt",64918,1967119892788416533,2023-11-01 01:09:48,1,2025-07-17 04:13:08,1,False
