id,sale_return_id,product_id,original_sale_line_id,qty_returned,unit_price_at_sale,return_unit_price,condition_note,created_at,created_by,updated_at,updated_by,deleted
1967119897607671815,1967119897574117428,1967119892788416541,1967119895187558405,2,205423,164338,Có khiếm khuyết nhỏ,2025-09-14 02:01:04,1967119892956188681,2025-09-14 11:01:04,1967119892956188679,False
1967119897607671816,1967119897574117428,1967119892788416537,1967119895187558401,1,55424,16627,Hư hỏng không thể bán,2025-09-14 02:01:04,1967119892956188681,2025-09-14 11:01:04,1967119892956188679,False
1967119897607671817,1967119897578311680,1967119892788416569,1967119895330164738,2,33054,26443,Có khiếm khuyết nhỏ,2025-09-19 08:51:04,1967119892956188682,2025-09-22 06:51:04,1967119892956188683,False
1967119897607671818,1967119897578311681,1967119892788416561,1967119895342747651,2,21699,17359,Có khiếm khuyết nhỏ,2025-09-27 20:27:04,1967119892956188684,2025-09-30 13:27:04,1967119892956188682,False
1967119897607671819,1967119897578311681,1967119892788416578,1967119895342747650,1,114209,114209,Tốt,2025-09-27 20:27:04,1967119892956188684,2025-09-30 13:27:04,1967119892956188682,False
1967119897607671820,1967119897578311682,1967119892788416571,1967119894235451393,1,83847,83847,Tốt,2025-08-13 13:42:04,1967119892956188683,2025-08-15 15:42:04,1967119892956188683,False
1967119897607671821,1967119897578311682,1967119892788416560,1967119894235451394,1,44744,35795,Có khiếm khuyết nhỏ,2025-08-13 13:42:04,1967119892956188683,2025-08-15 15:42:04,1967119892956188683,False
1967119897607671822,1967119897578311683,1967119892788416541,1967119893266567168,1,205423,205423,Tốt,2025-07-17 07:21:04,1967119892956188679,2025-07-20 06:21:04,1967119892956188678,False
1967119897607671823,1967119897578311683,1967119892788416581,1967119893266567169,2,275969,275969,Tốt,2025-07-17 07:21:04,1967119892956188679,2025-07-20 06:21:04,1967119892956188678,False
1967119897607671824,1967119897578311684,1967119892788416565,1967119894990426112,2,19891,19891,Tốt,2025-09-07 20:14:04,1967119892956188680,2025-09-10 01:14:04,1967119892956188680,False
1967119897607671825,1967119897578311684,1967119892788416570,1967119894990426113,1,79627,79627,Tốt,2025-09-07 20:14:04,1967119892956188680,2025-09-10 01:14:04,1967119892956188680,False
1967119897607671826,1967119897578311685,1967119892788416562,1967119893816020996,2,34607,10382,Hư hỏng không thể bán,2025-07-31 04:33:04,1967119892956188679,2025-08-01 12:33:04,1967119892956188685,False
1967119897607671827,1967119897578311686,1967119892788416553,1967119894105427968,1,41380,41380,Tốt,2025-08-01 08:28:04,1967119892956188679,2025-08-03 09:28:04,1967119892956188678,False
1967119897607671828,1967119897578311687,1967119892788416547,1967119895518908416,3,495825,396660,Có khiếm khuyết nhỏ,2025-09-28 23:56:04,1967119892956188678,2025-09-30 14:56:04,1967119892956188683,False
1967119897607671829,1967119897578311687,1967119892788416561,1967119895518908417,1,21699,21699,Tốt,2025-09-28 23:56:04,1967119892956188678,2025-09-30 14:56:04,1967119892956188683,False
1967119897607671830,1967119897578311688,1967119892788416546,1967119895258861570,2,75999,75999,Tốt,2025-09-18 08:29:04,1967119892956188681,2025-09-20 10:29:04,1967119892956188680,False
1967119897607671831,1967119897578311689,1967119892788416541,1967119895011397634,1,205423,61626,Hư hỏng không thể bán,2025-09-14 16:52:04,1967119892956188682,2025-09-15 15:52:04,1967119892956188679,False
1967119897607671832,1967119897578311690,1967119892788416556,1967119895003009025,1,19157,19157,Tốt,2025-09-07 09:19:04,1967119892956188681,2025-09-09 02:19:04,1967119892956188681,False
1967119897607671833,1967119897578311691,1967119892788416555,1967119893648248836,5,19039,19039,Tốt,2025-07-24 14:00:04,1967119892956188678,2025-07-25 18:00:04,1967119892956188681,False
1967119897607671834,1967119897578311692,1967119892788416539,1967119895506325510,3,443336,443336,Tốt,2025-09-20 01:25:04,1967119892956188678,2025-09-20 16:25:04,1967119892956188682,False
1967119897607671835,1967119897578311693,1967119892788416563,1967119895078506497,2,44942,44942,Tốt,2025-09-15 03:47:04,1967119892956188685,2025-09-17 03:47:04,1967119892956188681,False
1967119897607671836,1967119897578311693,1967119892788416548,1967119895078506496,2,69868,69868,Tốt,2025-09-15 03:47:04,1967119892956188685,2025-09-17 03:47:04,1967119892956188681,False
1967119897607671837,1967119897578311694,1967119892788416558,1967119894294171648,1,69533,69533,Tốt,2025-08-10 06:34:04,1967119892956188685,2025-08-11 18:34:04,1967119892956188681,False
1967119897607671838,1967119897578311695,1967119892788416556,1967119895208529920,2,19157,19157,Tốt,2025-09-17 05:49:04,1967119892956188679,2025-09-20 00:49:04,1967119892956188679,False
1967119897607671839,1967119897578311695,1967119892788416551,1967119895204335624,2,62582,50065,Có khiếm khuyết nhỏ,2025-09-17 05:49:04,1967119892956188679,2025-09-20 00:49:04,1967119892956188679,False
1967119897607671840,1967119897578311696,1967119892788416555,1967119893996376064,1,19039,15231,Có khiếm khuyết nhỏ,2025-08-03 06:04:04,1967119892956188682,2025-08-05 10:04:04,1967119892956188685,False
1967119897607671841,1967119897578311696,1967119892788416564,1967119893996376065,1,27506,22004,Có khiếm khuyết nhỏ,2025-08-03 06:04:04,1967119892956188682,2025-08-05 10:04:04,1967119892956188685,False
1967119897607671842,1967119897599283200,1967119892788416542,1967119894692630535,1,235309,235309,Tốt,2025-08-23 14:07:04,1967119892956188683,2025-08-26 14:07:04,1967119892956188679,False
1967119897607671843,1967119897599283200,1967119892788416581,1967119894692630533,1,275969,220775,Có khiếm khuyết nhỏ,2025-08-23 14:07:04,1967119892956188683,2025-08-26 14:07:04,1967119892956188679,False
1967119897607671844,1967119897599283201,1967119892788416565,1967119894482915328,1,19891,19891,Tốt,2025-08-27 14:47:04,1967119892956188679,2025-08-29 07:47:04,1967119892956188684,False
